MasterVM,BackupDS
sccmdp5,prod_windows01
SCOM2007SQL,prod_windows02
DemosTan,prod_windows02
JDEFIM1,prod_windows02
Informer,prod_windows02
pobwfe2_Live,prod_windows02
CiscoWorks,prod_windows02
vulture,prod_windows02
pobdb1,prod_windows02
Cisco WCS,prod_windows02
SC-FE2,prod_windows02
Kinetix,prod_windows02
LDS2,prod_windows02
DigiTrak,prod_windows02
WUS,prod_windows02
Sophos,prod_windows02
Bobby,prod_windows02
libintra2,prod_windows02
Maximiser,prod_windows02
opsbms,prod_windows02
SOPHOSEM2,prod_windows02
sheraton,prod_windows02
SUSAGE,prod_windows02
SCCM2012DB,prod_windows02
JDEFIM2,prod_windows02
FFC,prod_windows02
Pobdb1_Live,prod_windows02
SCOM2007RMS,prod_windows02
JDEADMGMT1,prod_windows02
planon-sql,prod_windows02
webproxy3,prod_linux01
curly,prod_linux01
webproxy2,prod_linux01
webproxy1,prod_linux01
Kalturaweb,prod_linux01
CMhelward,prod_linux01
ibos,prod_linux01
scarecrow,prod_linux01
bane,prod_linux01
ARU server,prod_linux01
webcms3,prod_linux01
webcms2,prod_linux01
webdev2,prod_linux01
MailManager2,prod_linux01
cmsstage,prod_linux01
nagios,prod_linux01
Cisco ANM Appliance,prod_linux01
GridDB,prod_linux01
SolarWinds Alert Central,prod_linux01
AuthMail,prod_linux01
Ford - web development proxy,prod_linux01
ezproxy,prod_linux01
Cisco Prime Network Control System Virtual Appliance,prod_linux01
www2,prod_linux01
Web-SMTP,prod_linux01
www3,prod_linux01
Nessus,prod_linux01
BigCacti_V2,prod_linux01